po_id,material_id,supplier_id,order_date,expected_delivery_date,actual_delivery_date,quantity_ordered,unit_cost,on_time,delay_days
PO-000065,MAT-API-028,SUP-04,2023-03-19,2023-05-18,2023-05-18,2631.0,0.288,True,0
PO-000066,MAT-API-029,SUP-01,2023-03-19,2023-05-13,2023-05-13,2469.1,0.057,True,0
PO-000067,MAT-API-035,SUP-03,2023-03-19,2023-04-18,2023-04-18,1347.5,0.165,True,0
PO-000068,MAT-API-039,SUP-03,2023-03-19,2023-04-18,2023-04-18,586.3,0.438,True,0
PO-000069,MAT-EXC-02,SUP-05,2023-03-19,2023-03-29,2023-03-29,119050.9,0.0197,True,0
PO-000070,MAT-EXC-05,SUP-05,2023-03-19,2023-03-29,2023-03-29,102099.2,0.0151,True,0
PO-000071,MAT-PKG-01,SUP-06,2023-03-19,2023-03-27,2023-03-27,1314423.3,0.0596,True,0
PO-000072,MAT-API-007,SUP-03,2023-03-26,2023-04-25,2023-04-25,452.5,0.545,True,0
PO-000073,MAT-API-019,SUP-03,2023-03-26,2023-04-25,2023-04-25,386.9,3.947,True,0
PO-000074,MAT-API-023,SUP-03,2023-03-26,2023-04-25,2023-04-25,671.7,2.346,True,0
PO-000075,MAT-API-031,SUP-03,2023-03-26,2023-04-25,2023-04-25,4331.0,0.15,True,0
PO-000076,MAT-EXC-03,SUP-08,2023-03-26,2023-04-13,2023-04-13,296215.9,0.0131,True,0
PO-000077,MAT-EXC-04,SUP-08,2023-03-26,2023-04-13,2023-04-13,218979.8,0.0145,True,0
PO-000078,MAT-PKG-02,SUP-06,2023-03-26,2023-04-03,2023-04-03,44711.4,0.0161,True,0
PO-000079,MAT-PKG-04,SUP-06,2023-03-26,2023-04-03,2023-04-03,29252.8,0.031,True,0
PO-000080,MAT-API-003,SUP-03,2023-04-02,2023-05-02,2023-05-02,1032.0,0.193,True,0
PO-000081,MAT-EXC-01,SUP-05,2023-04-02,2023-04-12,2023-04-12,58463.5,0.0079,True,0
PO-000082,MAT-API-026,SUP-02,2023-04-09,2023-05-27,2023-05-27,575.3,0.155,True,0
PO-000083,MAT-EXC-02,SUP-05,2023-04-09,2023-04-19,2023-04-19,132240.4,0.0197,True,0
PO-000084,MAT-EXC-05,SUP-05,2023-04-09,2023-04-19,2023-04-19,138181.8,0.0151,True,0
PO-000085,MAT-PKG-01,SUP-06,2023-04-09,2023-04-17,2023-04-17,1322785.1,0.0596,True,0
PO-000086,MAT-API-015,SUP-03,2023-04-16,2023-05-16,2023-05-16,1506.5,0.076,True,0
PO-000087,MAT-PKG-02,SUP-06,2023-04-16,2023-04-24,2023-04-24,28710.8,0.0161,True,0
PO-000088,MAT-PKG-04,SUP-06,2023-04-16,2023-04-24,2023-04-24,51293.4,0.031,True,0
PO-000089,MAT-API-014,SUP-02,2023-04-23,2023-06-10,2023-06-10,2168.2,0.09,True,0
PO-000090,MAT-API-022,SUP-02,2023-04-23,2023-06-10,2023-06-10,1356.8,0.522,True,0
PO-000091,MAT-API-034,SUP-02,2023-04-23,2023-06-10,2023-06-10,2110.4,0.147,True,0
PO-000092,MAT-EXC-03,SUP-08,2023-04-23,2023-05-11,2023-05-11,293234.2,0.0131,True,0
PO-000093,MAT-EXC-04,SUP-08,2023-04-23,2023-05-11,2023-05-11,209517.1,0.0145,True,0
PO-000094,MAT-PKG-03,SUP-07,2023-04-23,2023-05-07,2023-05-07,77611.2,0.0153,True,0
PO-000095,MAT-API-002,SUP-02,2023-04-30,2023-06-17,2023-06-17,3893.3,0.134,True,0
PO-000096,MAT-API-006,SUP-02,2023-04-30,2023-06-17,2023-06-17,1708.9,0.243,True,0
PO-000097,MAT-API-023,SUP-03,2023-04-30,2023-05-30,2023-06-18,648.8,2.346,False,19
PO-000098,MAT-API-031,SUP-03,2023-04-30,2023-05-30,2023-05-30,4133.0,0.15,True,0
PO-000099,MAT-API-033,SUP-01,2023-04-30,2023-06-24,2023-06-24,1530.0,0.087,True,0
PO-000100,MAT-API-035,SUP-03,2023-04-30,2023-05-30,2023-05-30,1402.2,0.165,True,0
PO-000101,MAT-API-042,SUP-02,2023-04-30,2023-06-17,2023-06-30,464.6,17.503,False,13
PO-000102,MAT-EXC-01,SUP-05,2023-04-30,2023-05-10,2023-05-20,80553.0,0.0079,False,10
PO-000103,MAT-EXC-02,SUP-05,2023-04-30,2023-05-10,2023-05-10,132989.9,0.0197,True,0
PO-000104,MAT-EXC-05,SUP-05,2023-04-30,2023-05-10,2023-05-10,111716.8,0.0151,True,0
PO-000105,MAT-PKG-01,SUP-06,2023-04-30,2023-05-08,2023-05-08,1356309.7,0.0596,True,0
PO-000106,MAT-API-011,SUP-03,2023-05-07,2023-06-06,2023-06-06,2049.3,0.115,True,0
PO-000107,MAT-API-027,SUP-03,2023-05-07,2023-06-06,2023-06-06,333.1,0.084,True,0
PO-000108,MAT-API-037,SUP-01,2023-05-07,2023-07-01,2023-07-05,582.9,0.142,False,4
PO-000109,MAT-PKG-02,SUP-06,2023-05-07,2023-05-15,2023-05-15,42016.3,0.0161,True,0
PO-000110,MAT-API-001,SUP-01,2023-05-14,2023-07-08,2023-07-08,2592.1,0.095,True,0
PO-000111,MAT-API-007,SUP-03,2023-05-14,2023-06-13,2023-06-13,482.7,0.545,True,0
PO-000112,MAT-API-009,SUP-01,2023-05-14,2023-07-08,2023-07-08,635.3,0.28,True,0
PO-000113,MAT-API-019,SUP-03,2023-05-14,2023-06-13,2023-06-13,444.5,3.947,True,0
PO-000114,MAT-API-038,SUP-02,2023-05-14,2023-07-01,2023-07-01,957.4,1.129,True,0
PO-000115,MAT-API-039,SUP-03,2023-05-14,2023-06-13,2023-06-13,731.8,0.438,True,0
PO-000116,MAT-PKG-03,SUP-07,2023-05-14,2023-05-28,2023-05-28,48342.2,0.0153,True,0
PO-000117,MAT-PKG-04,SUP-06,2023-05-14,2023-05-22,2023-05-22,47108.9,0.031,True,0
PO-000118,MAT-API-005,SUP-01,2023-05-21,2023-07-15,2023-07-15,1119.6,0.203,True,0
PO-000119,MAT-API-010,SUP-02,2023-05-21,2023-07-08,2023-07-27,4027.0,0.196,False,19
PO-000120,MAT-API-018,SUP-02,2023-05-21,2023-07-08,2023-07-08,1584.2,0.886,True,0
PO-000121,MAT-API-025,SUP-01,2023-05-21,2023-07-15,2023-07-29,2003.4,0.156,False,14
PO-000122,MAT-API-029,SUP-01,2023-05-21,2023-07-15,2023-07-15,2561.5,0.057,True,0
PO-000123,MAT-API-030,SUP-02,2023-05-21,2023-07-08,2023-07-08,4167.6,0.074,True,0
PO-000124,MAT-API-032,SUP-04,2023-05-21,2023-07-20,2023-07-20,1510.5,0.111,True,0
PO-000125,MAT-EXC-02,SUP-05,2023-05-21,2023-05-31,2023-05-31,116213.1,0.0197,True,0
PO-000126,MAT-EXC-03,SUP-08,2023-05-21,2023-06-08,2023-06-08,323906.7,0.0131,True,0
PO-000127,MAT-EXC-04,SUP-08,2023-05-21,2023-06-08,2023-06-08,209491.3,0.0145,True,0
PO-000128,MAT-EXC-05,SUP-05,2023-05-21,2023-05-31,2023-05-31,103626.0,0.0151,True,0
PO-000129,MAT-PKG-01,SUP-06,2023-05-21,2023-05-29,2023-05-29,1363793.9,0.0596,True,0
PO-000130,MAT-API-003,SUP-03,2023-05-28,2023-06-27,2023-06-27,1103.5,0.193,True,0
PO-000131,MAT-API-013,SUP-01,2023-05-28,2023-07-22,2023-07-22,975.1,0.187,True,0
PO-000132,MAT-API-016,SUP-04,2023-05-28,2023-07-27,2023-07-27,2218.7,0.22,True,0
PO-000133,MAT-API-020,SUP-04,2023-05-28,2023-07-27,2023-07-27,5280.9,0.063,True,0
PO-000134,MAT-API-021,SUP-01,2023-05-28,2023-07-22,2023-07-22,4372.0,0.093,True,0
PO-000135,MAT-API-004,SUP-04,2023-06-04,2023-08-03,2023-08-03,3692.2,0.058,True,0
PO-000136,MAT-API-015,SUP-03,2023-06-04,2023-07-04,2023-07-04,1487.0,0.076,True,0
PO-000137,MAT-API-017,SUP-01,2023-06-04,2023-07-29,2023-08-04,668.1,16.675,False,6
PO-000138,MAT-API-023,SUP-03,2023-06-04,2023-07-04,2023-07-04,670.2,2.346,True,0
PO-000139,MAT-API-026,SUP-02,2023-06-04,2023-07-22,2023-07-22,502.4,0.155,True,0
PO-000140,MAT-API-028,SUP-04,2023-06-04,2023-08-03,2023-08-03,2600.8,0.288,True,0
PO-000141,MAT-API-031,SUP-03,2023-06-04,2023-07-04,2023-07-04,4167.1,0.15,True,0
PO-000142,MAT-API-040,SUP-04,2023-06-04,2023-08-03,2023-08-03,978.4,0.164,True,0
PO-000143,MAT-PKG-02,SUP-06,2023-06-04,2023-06-12,2023-06-12,47708.0,0.0161,True,0
PO-000144,MAT-PKG-04,SUP-06,2023-06-04,2023-06-12,2023-06-12,34288.0,0.031,True,0
PO-000145,MAT-API-022,SUP-02,2023-06-11,2023-07-29,2023-07-29,1314.8,0.522,True,0
PO-000146,MAT-API-024,SUP-04,2023-06-11,2023-08-10,2023-08-10,2509.0,0.147,True,0
PO-000147,MAT-API-035,SUP-03,2023-06-11,2023-07-11,2023-07-11,1453.0,0.165,True,0
PO-000148,MAT-API-041,SUP-01,2023-06-11,2023-08-05,2023-08-05,921.9,0.248,True,0
PO-000149,MAT-EXC-01,SUP-05,2023-06-11,2023-06-21,2023-06-21,67554.5,0.0079,True,0
PO-000150,MAT-EXC-02,SUP-05,2023-06-11,2023-06-21,2023-06-21,136147.5,0.0197,True,0
PO-000151,MAT-EXC-05,SUP-05,2023-06-11,2023-06-21,2023-06-21,137730.8,0.0151,True,0
PO-000152,MAT-PKG-01,SUP-06,2023-06-11,2023-06-19,2023-06-19,1346919.0,0.0596,True,0
PO-000153,MAT-PKG-03,SUP-07,2023-06-11,2023-06-25,2023-07-07,48343.7,0.0153,False,12
PO-000154,MAT-API-006,SUP-02,2023-06-18,2023-08-05,2023-08-05,1511.5,0.243,True,0
PO-000155,MAT-API-008,SUP-04,2023-06-18,2023-08-17,2023-08-22,1264.8,2.983,False,5
PO-000156,MAT-API-011,SUP-03,2023-06-18,2023-07-18,2023-07-18,2208.8,0.115,True,0
PO-000157,MAT-API-012,SUP-04,2023-06-18,2023-08-17,2023-08-17,2472.5,0.129,True,0
PO-000158,MAT-API-027,SUP-03,2023-06-18,2023-07-18,2023-07-18,379.8,0.084,True,0
PO-000159,MAT-EXC-03,SUP-08,2023-06-18,2023-07-06,2023-07-06,293248.6,0.0131,True,0
PO-000160,MAT-EXC-04,SUP-08,2023-06-18,2023-07-06,2023-07-06,203004.5,0.0145,True,0
PO-000161,MAT-API-002,SUP-02,2023-06-25,2023-08-12,2023-08-12,3082.8,0.134,True,0
PO-000162,MAT-API-014,SUP-02,2023-06-25,2023-08-12,2023-08-12,2201.3,0.09,True,0
PO-000163,MAT-API-034,SUP-02,2023-06-25,2023-08-12,2023-08-12,2310.4,0.147,True,0
PO-000164,MAT-API-039,SUP-03,2023-06-25,2023-07-25,2023-07-25,566.7,0.438,True,0
PO-000165,MAT-API-042,SUP-02,2023-06-25,2023-08-12,2023-08-12,506.2,17.503,True,0
PO-000166,MAT-API-007,SUP-03,2023-07-02,2023-08-01,2023-08-01,477.0,0.545,True,0
PO-000167,MAT-API-019,SUP-03,2023-07-02,2023-08-01,2023-08-01,416.3,3.947,True,0
PO-000168,MAT-API-033,SUP-01,2023-07-02,2023-08-26,2023-08-26,1555.9,0.087,True,0
PO-000169,MAT-API-036,SUP-04,2023-07-02,2023-08-31,2023-09-04,1453.4,0.107,False,4
PO-000170,MAT-EXC-01,SUP-05,2023-07-02,2023-07-12,2023-07-12,50545.7,0.0079,True,0
PO-000171,MAT-EXC-02,SUP-05,2023-07-02,2023-07-12,2023-07-12,131716.7,0.0197,True,0
PO-000172,MAT-EXC-05,SUP-05,2023-07-02,2023-07-12,2023-07-12,115335.1,0.0151,True,0
PO-000173,MAT-PKG-01,SUP-06,2023-07-02,2023-07-10,2023-07-10,1306177.3,0.0596,True,0
PO-000174,MAT-PKG-02,SUP-06,2023-07-02,2023-07-10,2023-07-10,47708.0,0.0161,True,0
PO-000175,MAT-PKG-04,SUP-06,2023-07-02,2023-07-10,2023-07-10,44510.3,0.031,True,0
PO-000176,MAT-API-009,SUP-01,2023-07-16,2023-09-09,2023-09-09,671.4,0.28,True,0
PO-000177,MAT-API-031,SUP-03,2023-07-16,2023-08-15,2023-08-15,4088.6,0.15,True,0
PO-000178,MAT-EXC-03,SUP-08,2023-07-16,2023-08-03,2023-08-03,297679.3,0.0131,True,0
PO-000179,MAT-EXC-04,SUP-08,2023-07-16,2023-08-03,2023-08-03,202505.0,0.0145,True,0
PO-000180,MAT-PKG-03,SUP-07,2023-07-16,2023-07-30,2023-07-30,69720.4,0.0153,True,0
PO-000181,MAT-API-005,SUP-01,2023-07-23,2023-09-16,2023-09-16,1095.8,0.203,True,0
PO-000182,MAT-API-015,SUP-03,2023-07-23,2023-08-22,2023-08-22,1668.6,0.076,True,0
PO-000183,MAT-API-026,SUP-02,2023-07-23,2023-09-09,2023-09-15,521.7,0.155,False,6
PO-000184,MAT-API-030,SUP-02,2023-07-23,2023-09-09,2023-09-09,3976.9,0.074,True,0
PO-000185,MAT-EXC-01,SUP-05,2023-07-23,2023-08-02,2023-08-02,53271.1,0.0079,True,0
PO-000186,MAT-EXC-02,SUP-05,2023-07-23,2023-08-02,2023-08-02,120809.2,0.0197,True,0
PO-000187,MAT-EXC-05,SUP-05,2023-07-23,2023-08-02,2023-08-02,105297.0,0.0151,True,0
PO-000188,MAT-PKG-01,SUP-06,2023-07-23,2023-07-31,2023-07-31,1307864.1,0.0596,True,0
PO-000189,MAT-PKG-04,SUP-06,2023-07-23,2023-07-31,2023-07-31,31667.0,0.031,True,0
PO-000190,MAT-API-001,SUP-01,2023-07-30,2023-09-23,2023-09-23,2477.2,0.095,True,0
PO-000191,MAT-API-003,SUP-03,2023-07-30,2023-08-29,2023-08-29,1053.6,0.193,True,0
PO-000192,MAT-API-010,SUP-02,2023-07-30,2023-09-16,2023-09-16,4061.5,0.196,True,0
PO-000193,MAT-API-011,SUP-03,2023-07-30,2023-08-29,2023-08-29,2197.9,0.115,True,0
PO-000194,MAT-API-021,SUP-01,2023-07-30,2023-09-23,2023-09-23,4569.3,0.093,True,0
PO-000195,MAT-API-023,SUP-03,2023-07-30,2023-08-29,2023-08-29,821.9,2.346,True,0
PO-000196,MAT-API-027,SUP-03,2023-07-30,2023-08-29,2023-08-29,351.9,0.084,True,0
PO-000197,MAT-API-038,SUP-02,2023-07-30,2023-09-16,2023-09-16,967.2,1.129,True,0
PO-000198,MAT-PKG-02,SUP-06,2023-07-30,2023-08-07,2023-08-07,47708.0,0.0161,True,0
PO-000199,MAT-API-022,SUP-02,2023-08-06,2023-09-23,2023-09-23,1327.7,0.522,True,0
PO-000200,MAT-API-029,SUP-01,2023-08-06,2023-09-30,2023-09-30,2501.1,0.057,True,0
PO-000201,MAT-API-035,SUP-03,2023-08-06,2023-09-05,2023-09-05,1472.5,0.165,True,0
PO-000202,MAT-API-037,SUP-01,2023-08-06,2023-09-30,2023-09-30,708.0,0.142,True,0
PO-000203,MAT-API-039,SUP-03,2023-08-06,2023-09-05,2023-09-22,613.5,0.438,False,17
PO-000204,MAT-API-006,SUP-02,2023-08-13,2023-09-30,2023-09-30,1533.3,0.243,True,0
PO-000205,MAT-API-013,SUP-01,2023-08-13,2023-10-07,2023-10-07,1067.3,0.187,True,0
PO-000206,MAT-API-018,SUP-02,2023-08-13,2023-09-30,2023-10-07,1502.5,0.886,False,7
PO-000207,MAT-API-019,SUP-03,2023-08-13,2023-09-12,2023-09-12,374.4,3.947,True,0
PO-000208,MAT-API-025,SUP-01,2023-08-13,2023-10-07,2023-10-20,2292.2,0.156,False,13
PO-000209,MAT-API-040,SUP-04,2023-08-13,2023-10-12,2023-10-12,770.3,0.164,True,0
PO-000210,MAT-EXC-01,SUP-05,2023-08-13,2023-08-23,2023-08-23,61191.8,0.0079,True,0
PO-000211,MAT-EXC-03,SUP-08,2023-08-13,2023-08-31,2023-08-31,285666.1,0.0131,True,0
PO-000212,MAT-EXC-04,SUP-08,2023-08-13,2023-08-31,2023-08-31,195016.6,0.0145,True,0
PO-000213,MAT-EXC-05,SUP-05,2023-08-13,2023-08-23,2023-08-23,113196.4,0.0151,True,0
PO-000214,MAT-PKG-01,SUP-06,2023-08-13,2023-08-21,2023-08-21,1188770.4,0.0596,True,0
PO-000215,MAT-PKG-03,SUP-07,2023-08-13,2023-08-27,2023-08-27,50547.6,0.0153,True,0
PO-000216,MAT-PKG-04,SUP-06,2023-08-13,2023-08-21,2023-08-21,32262.6,0.031,True,0
PO-000217,MAT-API-007,SUP-03,2023-08-20,2023-09-19,2023-09-19,479.9,0.545,True,0
PO-000218,MAT-API-014,SUP-02,2023-08-20,2023-10-07,2023-10-07,2012.9,0.09,True,0
PO-000219,MAT-API-017,SUP-01,2023-08-20,2023-10-14,2023-10-20,649.3,16.675,False,6
PO-000220,MAT-API-020,SUP-04,2023-08-20,2023-10-19,2023-10-19,5591.7,0.063,True,0
PO-000221,MAT-API-028,SUP-04,2023-08-20,2023-10-19,2023-10-19,2766.4,0.288,True,0
PO-000222,MAT-API-032,SUP-04,2023-08-20,2023-10-19,2023-10-25,1855.1,0.111,False,6
PO-000223,MAT-API-042,SUP-02,2023-08-20,2023-10-07,2023-10-07,475.9,17.503,True,0
PO-000224,MAT-EXC-02,SUP-05,2023-08-20,2023-08-30,2023-08-30,198821.7,0.0197,True,0
PO-000225,MAT-PKG-02,SUP-06,2023-08-20,2023-08-28,2023-08-28,47708.0,0.0161,True,0
PO-000226,MAT-API-016,SUP-04,2023-08-27,2023-10-26,2023-11-04,2108.4,0.22,False,9
PO-000227,MAT-API-031,SUP-03,2023-08-27,2023-09-26,2023-09-30,3921.4,0.15,False,4
PO-000228,MAT-API-034,SUP-02,2023-08-27,2023-10-14,2023-10-14,2108.2,0.147,True,0
PO-000229,MAT-PKG-01,SUP-06,2023-08-27,2023-09-04,2023-09-04,1068672.7,0.0596,True,0
PO-000230,MAT-API-008,SUP-04,2023-09-03,2023-11-02,2023-11-02,1083.4,2.983,True,0
PO-000231,MAT-API-023,SUP-03,2023-09-03,2023-10-03,2023-10-03,703.3,2.346,True,0
PO-000232,MAT-API-041,SUP-01,2023-09-03,2023-10-28,2023-10-28,824.9,0.248,True,0
PO-000233,MAT-EXC-01,SUP-05,2023-09-03,2023-09-13,2023-09-27,51916.5,0.0079,False,14
PO-000234,MAT-EXC-05,SUP-05,2023-09-03,2023-09-13,2023-09-13,107359.1,0.0151,True,0
PO-000235,MAT-API-002,SUP-02,2023-09-10,2023-10-28,2023-10-28,3569.8,0.134,True,0
PO-000236,MAT-API-004,SUP-04,2023-09-10,2023-11-09,2023-11-14,4081.9,0.058,False,5
PO-000237,MAT-API-011,SUP-03,2023-09-10,2023-10-10,2023-10-10,2258.7,0.115,True,0
PO-000238,MAT-API-015,SUP-03,2023-09-10,2023-10-10,2023-10-10,1516.2,0.076,True,0
PO-000239,MAT-API-024,SUP-04,2023-09-10,2023-11-09,2023-11-23,2528.3,0.147,False,14
PO-000240,MAT-API-026,SUP-02,2023-09-10,2023-10-28,2023-10-28,571.5,0.155,True,0
PO-000241,MAT-API-027,SUP-03,2023-09-10,2023-10-10,2023-10-10,349.4,0.084,True,0
PO-000242,MAT-API-036,SUP-04,2023-09-10,2023-11-09,2023-11-09,1159.4,0.107,True,0
PO-000243,MAT-EXC-02,SUP-05,2023-09-10,2023-09-20,2023-09-20,116923.1,0.0197,True,0
PO-000244,MAT-EXC-03,SUP-08,2023-09-10,2023-09-28,2023-09-28,306557.7,0.0131,True,0
PO-000245,MAT-EXC-04,SUP-08,2023-09-10,2023-09-28,2023-09-28,209927.1,0.0145,True,0
PO-000246,MAT-PKG-03,SUP-07,2023-09-10,2023-09-24,2023-09-24,66915.8,0.0153,True,0
PO-000247,MAT-PKG-04,SUP-06,2023-09-10,2023-09-18,2023-09-18,31286.8,0.031,True,0
PO-000248,MAT-API-035,SUP-03,2023-09-17,2023-10-17,2023-10-17,1478.8,0.165,True,0
PO-000249,MAT-PKG-01,SUP-06,2023-09-17,2023-09-25,2023-09-25,1232794.2,0.0596,True,0
PO-000250,MAT-PKG-02,SUP-06,2023-09-17,2023-09-25,2023-09-25,43161.8,0.0161,True,0
PO-000251,MAT-API-003,SUP-03,2023-09-24,2023-10-24,2023-11-03,1121.8,0.193,False,10
PO-000252,MAT-API-009,SUP-01,2023-09-24,2023-11-18,2023-11-18,644.7,0.28,True,0
