batch_id,product_id,plant_id,production_date,expiry_date,quantity_produced,qc_pass
BATCH-000152,SKU-004,PLANT-A,2024-09-12,2027-03-01,38541,True
BATCH-000153,SKU-004,PLANT-A,2024-09-30,2027-03-19,37690,True
BATCH-000154,SKU-004,PLANT-A,2024-10-14,2027-04-02,37374,True
BATCH-000155,SKU-004,PLANT-A,2024-10-30,2027-04-18,36582,False
BATCH-000156,SKU-004,PLANT-A,2024-11-12,2027-05-01,35659,True
BATCH-000157,SKU-004,PLANT-A,2024-11-26,2027-05-15,42827,True
BATCH-000158,SKU-004,PLANT-A,2024-12-10,2027-05-29,44595,True
BATCH-000159,SKU-004,PLANT-A,2024-12-23,2027-06-11,39254,True
BATCH-000160,SKU-005,PLANT-A,2022-12-23,2024-12-22,14888,True
BATCH-000161,SKU-005,PLANT-A,2023-01-10,2025-01-09,17322,True
BATCH-000162,SKU-005,PLANT-A,2023-01-30,2025-01-29,14417,True
BATCH-000163,SKU-005,PLANT-A,2023-02-17,2025-02-16,17254,True
BATCH-000164,SKU-005,PLANT-A,2023-03-06,2025-03-05,16479,True
BATCH-000165,SKU-005,PLANT-A,2023-03-24,2025-03-23,16632,True
BATCH-000166,SKU-005,PLANT-A,2023-04-10,2025-04-09,14577,True
BATCH-000167,SKU-005,PLANT-A,2023-04-27,2025-04-26,15814,True
BATCH-000168,SKU-005,PLANT-A,2023-05-15,2025-05-14,18411,True
BATCH-000169,SKU-005,PLANT-A,2023-06-01,2025-05-31,14902,True
BATCH-000170,SKU-005,PLANT-A,2023-06-16,2025-06-15,14844,True
BATCH-000171,SKU-005,PLANT-A,2023-06-30,2025-06-29,17274,True
BATCH-000172,SKU-005,PLANT-A,2023-07-17,2025-07-16,17023,True
BATCH-000173,SKU-005,PLANT-A,2023-08-04,2025-08-03,17265,True
BATCH-000174,SKU-005,PLANT-A,2023-08-21,2025-08-20,16969,True
BATCH-000175,SKU-005,PLANT-A,2023-09-06,2025-09-05,18263,True
BATCH-000176,SKU-005,PLANT-A,2023-09-25,2025-09-24,17581,True
BATCH-000177,SKU-005,PLANT-A,2023-10-12,2025-10-11,13948,True
BATCH-000178,SKU-005,PLANT-A,2023-10-30,2025-10-29,17790,True
BATCH-000179,SKU-005,PLANT-A,2023-11-14,2025-11-13,14316,True
BATCH-000180,SKU-005,PLANT-A,2023-12-01,2025-11-30,16250,True
BATCH-000181,SKU-005,PLANT-A,2023-12-18,2025-12-17,15008,True
BATCH-000182,SKU-005,PLANT-A,2024-01-05,2026-01-04,15770,True
BATCH-000183,SKU-005,PLANT-A,2024-01-22,2026-01-21,15819,True
BATCH-000184,SKU-005,PLANT-A,2024-02-09,2026-02-08,18383,True
BATCH-000185,SKU-005,PLANT-A,2024-02-26,2026-02-25,16388,True
BATCH-000186,SKU-005,PLANT-A,2024-03-14,2026-03-14,14178,True
BATCH-000187,SKU-005,PLANT-A,2024-03-29,2026-03-29,16109,True
BATCH-000188,SKU-005,PLANT-A,2024-04-15,2026-04-15,14760,True
BATCH-000189,SKU-005,PLANT-A,2024-05-03,2026-05-03,15031,True
BATCH-000190,SKU-005,PLANT-A,2024-05-21,2026-05-21,14411,True
BATCH-000191,SKU-005,PLANT-A,2024-06-10,2026-06-10,14540,True
BATCH-000192,SKU-005,PLANT-A,2024-06-25,2026-06-25,17540,True
BATCH-000193,SKU-005,PLANT-A,2024-07-11,2026-07-11,16176,True
BATCH-000194,SKU-005,PLANT-A,2024-07-26,2026-07-26,14224,True
BATCH-000195,SKU-005,PLANT-A,2024-08-13,2026-08-13,14771,True
BATCH-000196,SKU-005,PLANT-A,2024-08-27,2026-08-27,15723,True
BATCH-000197,SKU-005,PLANT-A,2024-09-12,2026-09-12,17986,True
BATCH-000198,SKU-005,PLANT-A,2024-09-30,2026-09-30,14125,True
BATCH-000199,SKU-005,PLANT-A,2024-10-15,2026-10-15,17514,True
BATCH-000200,SKU-005,PLANT-A,2024-10-31,2026-10-31,16386,True
BATCH-000201,SKU-005,PLANT-A,2024-11-18,2026-11-18,18528,False
BATCH-000202,SKU-005,PLANT-A,2024-12-03,2026-12-03,17757,True
BATCH-000203,SKU-005,PLANT-A,2024-12-18,2026-12-18,18615,True
BATCH-000204,SKU-006,PLANT-B,2022-12-22,2024-12-21,27617,True
BATCH-000205,SKU-006,PLANT-B,2023-01-10,2025-01-09,33484,True
BATCH-000206,SKU-006,PLANT-B,2023-01-25,2025-01-24,31708,True
BATCH-000207,SKU-006,PLANT-B,2023-02-13,2025-02-12,29784,True
BATCH-000208,SKU-006,PLANT-B,2023-03-03,2025-03-02,28643,True
BATCH-000209,SKU-006,PLANT-B,2023-03-20,2025-03-19,27960,True
BATCH-000210,SKU-006,PLANT-B,2023-04-10,2025-04-09,27945,True
BATCH-000211,SKU-006,PLANT-B,2023-04-25,2025-04-24,28627,True
BATCH-000212,SKU-006,PLANT-B,2023-05-15,2025-05-14,36052,True
BATCH-000213,SKU-006,PLANT-B,2023-06-01,2025-05-31,29046,True
BATCH-000214,SKU-006,PLANT-B,2023-06-16,2025-06-15,35000,True
BATCH-000215,SKU-006,PLANT-B,2023-07-03,2025-07-02,33063,True
BATCH-000216,SKU-006,PLANT-B,2023-07-21,2025-07-20,36301,True
BATCH-000217,SKU-006,PLANT-B,2023-08-07,2025-08-06,32181,True
BATCH-000218,SKU-006,PLANT-B,2023-08-24,2025-08-23,32336,True
BATCH-000219,SKU-006,PLANT-B,2023-09-12,2025-09-11,29191,True
BATCH-000220,SKU-006,PLANT-B,2023-09-29,2025-09-28,29522,True
BATCH-000221,SKU-006,PLANT-B,2023-10-17,2025-10-16,34298,True
BATCH-000222,SKU-006,PLANT-B,2023-11-06,2025-11-05,35940,True
BATCH-000223,SKU-006,PLANT-B,2023-11-27,2025-11-26,35980,True
BATCH-000224,SKU-006,PLANT-B,2023-12-14,2025-12-13,33070,True
BATCH-000225,SKU-006,PLANT-B,2024-01-01,2025-12-31,29400,False
BATCH-000226,SKU-006,PLANT-B,2024-01-19,2026-01-18,32729,True
BATCH-000227,SKU-006,PLANT-B,2024-02-05,2026-02-04,35836,True
BATCH-000228,SKU-006,PLANT-B,2024-02-21,2026-02-20,32683,True
BATCH-000229,SKU-006,PLANT-B,2024-03-07,2026-03-07,28569,True
BATCH-000230,SKU-006,PLANT-B,2024-03-26,2026-03-26,31540,True
BATCH-000231,SKU-006,PLANT-B,2024-04-10,2026-04-10,33991,True
BATCH-000232,SKU-006,PLANT-B,2024-04-29,2026-04-29,29125,True
BATCH-000233,SKU-006,PLANT-B,2024-05-16,2026-05-16,30474,True
BATCH-000234,SKU-006,PLANT-B,2024-05-31,2026-05-31,31459,True
BATCH-000235,SKU-006,PLANT-B,2024-06-17,2026-06-17,35645,False
BATCH-000236,SKU-006,PLANT-B,2024-07-05,2026-07-05,35147,True
BATCH-000237,SKU-006,PLANT-B,2024-07-22,2026-07-22,36071,True
BATCH-000238,SKU-006,PLANT-B,2024-08-06,2026-08-06,28355,True
BATCH-000239,SKU-006,PLANT-B,2024-08-26,2026-08-26,36279,True
BATCH-000240,SKU-006,PLANT-B,2024-09-16,2026-09-16,34479,True
BATCH-000241,SKU-006,PLANT-B,2024-10-07,2026-10-07,31945,True
BATCH-000242,SKU-006,PLANT-B,2024-10-28,2026-10-28,35687,True
BATCH-000243,SKU-006,PLANT-B,2024-11-14,2026-11-14,33170,True
BATCH-000244,SKU-006,PLANT-B,2024-12-03,2026-12-03,27549,True
BATCH-000245,SKU-006,PLANT-B,2024-12-23,2026-12-23,33034,True
BATCH-000246,SKU-007,PLANT-B,2022-12-14,2024-12-13,17125,True
BATCH-000247,SKU-007,PLANT-B,2023-01-06,2025-01-05,20720,True
BATCH-000248,SKU-007,PLANT-B,2023-02-01,2025-01-31,22080,True
BATCH-000249,SKU-007,PLANT-B,2023-02-24,2025-02-23,20508,True
BATCH-000250,SKU-007,PLANT-B,2023-03-20,2025-03-19,18336,True
BATCH-000251,SKU-007,PLANT-B,2023-04-12,2025-04-11,19581,True
BATCH-000252,SKU-007,PLANT-B,2023-05-08,2025-05-07,21854,True
BATCH-000253,SKU-007,PLANT-B,2023-06-05,2025-06-04,20672,True
BATCH-000254,SKU-007,PLANT-B,2023-06-29,2025-06-28,20275,True
BATCH-000255,SKU-007,PLANT-B,2023-07-21,2025-07-20,19942,True
BATCH-000256,SKU-007,PLANT-B,2023-08-15,2025-08-14,21249,True
BATCH-000257,SKU-007,PLANT-B,2023-09-06,2025-09-05,21094,True
BATCH-000258,SKU-007,PLANT-B,2023-09-29,2025-09-28,22125,True
BATCH-000259,SKU-007,PLANT-B,2023-10-24,2025-10-23,19605,True
BATCH-000260,SKU-007,PLANT-B,2023-11-20,2025-11-19,17969,True
BATCH-000261,SKU-007,PLANT-B,2023-12-18,2025-12-17,21271,True
BATCH-000262,SKU-007,PLANT-B,2024-01-11,2026-01-10,21702,True
BATCH-000263,SKU-007,PLANT-B,2024-02-06,2026-02-05,17856,True
BATCH-000264,SKU-007,PLANT-B,2024-02-29,2026-02-28,20492,True
BATCH-000265,SKU-007,PLANT-B,2024-03-25,2026-03-25,21498,True
BATCH-000266,SKU-007,PLANT-B,2024-04-17,2026-04-17,20465,True
BATCH-000267,SKU-007,PLANT-B,2024-05-13,2026-05-13,22194,True
BATCH-000268,SKU-007,PLANT-B,2024-06-10,2026-06-10,17399,True
BATCH-000269,SKU-007,PLANT-B,2024-07-08,2026-07-08,16977,True
BATCH-000270,SKU-007,PLANT-B,2024-07-30,2026-07-30,22545,True
BATCH-000271,SKU-007,PLANT-B,2024-08-21,2026-08-21,18519,True
BATCH-000272,SKU-007,PLANT-B,2024-09-16,2026-09-16,22242,True
BATCH-000273,SKU-007,PLANT-B,2024-10-14,2026-10-14,20799,True
BATCH-000274,SKU-007,PLANT-B,2024-11-08,2026-11-08,22035,True
BATCH-000275,SKU-007,PLANT-B,2024-12-02,2026-12-02,21018,True
BATCH-000276,SKU-007,PLANT-B,2024-12-24,2026-12-24,21538,True
BATCH-000277,SKU-008,PLANT-B,2022-12-26,2024-06-18,14344,True
BATCH-000278,SKU-008,PLANT-B,2023-01-16,2024-07-09,13158,True
BATCH-000279,SKU-008,PLANT-B,2023-02-03,2024-07-27,15506,True
BATCH-000280,SKU-008,PLANT-B,2023-02-20,2024-08-13,14150,True
BATCH-000281,SKU-008,PLANT-B,2023-03-08,2024-08-29,14181,True
BATCH-000282,SKU-008,PLANT-B,2023-03-27,2024-09-17,13834,True
BATCH-000283,SKU-008,PLANT-B,2023-04-17,2024-10-08,12488,True
BATCH-000284,SKU-008,PLANT-B,2023-05-08,2024-10-29,12245,True
BATCH-000285,SKU-008,PLANT-B,2023-05-29,2024-11-19,13066,True
BATCH-000286,SKU-008,PLANT-B,2023-06-16,2024-12-07,14622,True
BATCH-000287,SKU-008,PLANT-B,2023-07-03,2024-12-24,12912,True
BATCH-000288,SKU-008,PLANT-B,2023-07-20,2025-01-10,15370,True
BATCH-000289,SKU-008,PLANT-B,2023-08-09,2025-01-30,15130,True
BATCH-000290,SKU-008,PLANT-B,2023-08-28,2025-02-18,13338,True
BATCH-000291,SKU-008,PLANT-B,2023-09-15,2025-03-08,16057,True
BATCH-000292,SKU-008,PLANT-B,2023-10-02,2025-03-25,12336,True
BATCH-000293,SKU-008,PLANT-B,2023-10-20,2025-04-12,15280,True
BATCH-000294,SKU-008,PLANT-B,2023-11-09,2025-05-02,16108,True
BATCH-000295,SKU-008,PLANT-B,2023-11-27,2025-05-20,13023,True
BATCH-000296,SKU-008,PLANT-B,2023-12-18,2025-06-10,12951,True
BATCH-000297,SKU-008,PLANT-B,2024-01-05,2025-06-28,12072,True
BATCH-000298,SKU-008,PLANT-B,2024-01-25,2025-07-18,12272,True
BATCH-000299,SKU-008,PLANT-B,2024-02-12,2025-08-05,15905,True
BATCH-000300,SKU-008,PLANT-B,2024-03-01,2025-08-23,16169,True
BATCH-000301,SKU-008,PLANT-B,2024-03-19,2025-09-10,14800,True
BATCH-000302,SKU-008,PLANT-B,2024-04-08,2025-09-30,14600,True
BATCH-000303,SKU-008,PLANT-B,2024-04-24,2025-10-16,15477,True
BATCH-000304,SKU-008,PLANT-B,2024-05-13,2025-11-04,14171,True
BATCH-000305,SKU-008,PLANT-B,2024-05-29,2025-11-20,15890,True
BATCH-000306,SKU-008,PLANT-B,2024-06-17,2025-12-09,15537,True
BATCH-000307,SKU-008,PLANT-B,2024-07-04,2025-12-26,15877,True
BATCH-000308,SKU-008,PLANT-B,2024-07-24,2026-01-15,13902,True
BATCH-000309,SKU-008,PLANT-B,2024-08-12,2026-02-03,15855,True
BATCH-000310,SKU-008,PLANT-B,2024-08-28,2026-02-19,12457,True
BATCH-000311,SKU-008,PLANT-B,2024-09-17,2026-03-11,13565,True
BATCH-000312,SKU-008,PLANT-B,2024-10-07,2026-03-31,16039,True
BATCH-000313,SKU-008,PLANT-B,2024-10-28,2026-04-21,15102,True
BATCH-000314,SKU-008,PLANT-B,2024-11-18,2026-05-12,12102,True
BATCH-000315,SKU-008,PLANT-B,2024-12-06,2026-05-30,13217,True
BATCH-000316,SKU-008,PLANT-B,2024-12-23,2026-06-16,13243,True
BATCH-000317,SKU-009,PLANT-B,2022-12-27,2024-12-26,17903,True
BATCH-000318,SKU-009,PLANT-B,2023-01-12,2025-01-11,20532,True
BATCH-000319,SKU-009,PLANT-B,2023-01-27,2025-01-26,21339,True
BATCH-000320,SKU-009,PLANT-B,2023-02-13,2025-02-12,20139,True
BATCH-000321,SKU-009,PLANT-B,2023-03-02,2025-03-01,21809,True
BATCH-000322,SKU-009,PLANT-B,2023-03-20,2025-03-19,16818,True
BATCH-000323,SKU-009,PLANT-B,2023-04-04,2025-04-03,17510,True
BATCH-000324,SKU-009,PLANT-B,2023-04-19,2025-04-18,20964,True
BATCH-000325,SKU-009,PLANT-B,2023-05-08,2025-05-07,17484,True
BATCH-000326,SKU-009,PLANT-B,2023-05-24,2025-05-23,20294,True
BATCH-000327,SKU-009,PLANT-B,2023-06-12,2025-06-11,17873,True
BATCH-000328,SKU-009,PLANT-B,2023-06-27,2025-06-26,17423,True
BATCH-000329,SKU-009,PLANT-B,2023-07-14,2025-07-13,21321,True
BATCH-000330,SKU-009,PLANT-B,2023-07-31,2025-07-30,17095,True
BATCH-000331,SKU-009,PLANT-B,2023-08-17,2025-08-16,17623,True
BATCH-000332,SKU-009,PLANT-B,2023-09-04,2025-09-03,21345,True
BATCH-000333,SKU-009,PLANT-B,2023-09-21,2025-09-20,17786,True
BATCH-000334,SKU-009,PLANT-B,2023-10-06,2025-10-05,19807,True
BATCH-000335,SKU-009,PLANT-B,2023-10-23,2025-10-22,17110,True
BATCH-000336,SKU-009,PLANT-B,2023-11-10,2025-11-09,18867,True
BATCH-000337,SKU-009,PLANT-B,2023-11-27,2025-11-26,21358,True
BATCH-000338,SKU-009,PLANT-B,2023-12-15,2025-12-14,21968,True
BATCH-000339,SKU-009,PLANT-B,2024-01-01,2025-12-31,19628,True
BATCH-000340,SKU-009,PLANT-B,2024-01-18,2026-01-17,19023,True
BATCH-000341,SKU-009,PLANT-B,2024-02-06,2026-02-05,17188,True
BATCH-000342,SKU-009,PLANT-B,2024-02-26,2026-02-25,20741,True
BATCH-000343,SKU-009,PLANT-B,2024-03-12,2026-03-12,17418,True
BATCH-000344,SKU-009,PLANT-B,2024-03-28,2026-03-28,17035,True
BATCH-000345,SKU-009,PLANT-B,2024-04-15,2026-04-15,20203,True
BATCH-000346,SKU-009,PLANT-B,2024-05-01,2026-05-01,21653,True
BATCH-000347,SKU-009,PLANT-B,2024-05-16,2026-05-16,18083,True
BATCH-000348,SKU-009,PLANT-B,2024-05-31,2026-05-31,19097,True
