date,product_id,center_id,units_demanded,units_sold,closing_stock,stockout_units,units_received,units_reordered
2023-05-06,SKU-001,DC-01,143,143,1908,0,0,0
2023-05-07,SKU-001,DC-01,118,118,1790,0,0,0
2023-05-08,SKU-001,DC-01,297,297,1493,0,0,0
2023-05-09,SKU-001,DC-01,162,162,1331,0,0,0
2023-05-10,SKU-001,DC-01,257,257,1074,0,0,0
2023-05-11,SKU-001,DC-01,185,185,889,0,0,0
2023-05-12,SKU-001,DC-01,265,265,624,0,0,0
2023-05-13,SKU-001,DC-01,108,108,516,0,0,0
2023-05-14,SKU-001,DC-01,274,274,242,0,0,2974
2023-05-15,SKU-001,DC-01,315,242,0,73,0,0
2023-05-16,SKU-001,DC-01,39,0,0,39,0,0
2023-05-17,SKU-001,DC-01,228,228,2746,0,2974,0
2023-05-18,SKU-001,DC-01,378,378,2368,0,0,0
2023-05-19,SKU-001,DC-01,175,175,2193,0,0,0
2023-05-20,SKU-001,DC-01,87,87,2106,0,0,0
2023-05-21,SKU-001,DC-01,140,140,1966,0,0,0
2023-05-22,SKU-001,DC-01,193,193,1773,0,0,0
2023-05-23,SKU-001,DC-01,220,220,1553,0,0,0
2023-05-24,SKU-001,DC-01,279,279,1274,0,0,0
2023-05-25,SKU-001,DC-01,285,285,989,0,0,0
2023-05-26,SKU-001,DC-01,188,188,801,0,0,0
2023-05-27,SKU-001,DC-01,189,189,612,0,0,0
2023-05-28,SKU-001,DC-01,102,102,510,0,0,2706
2023-05-29,SKU-001,DC-01,170,170,340,0,0,0
2023-05-30,SKU-001,DC-01,252,252,88,0,0,0
2023-05-31,SKU-001,DC-01,217,217,2577,0,2706,0
2023-06-01,SKU-001,DC-01,212,212,2365,0,0,0
2023-06-02,SKU-001,DC-01,219,219,2146,0,0,0
2023-06-03,SKU-001,DC-01,259,259,1887,0,0,0
2023-06-04,SKU-001,DC-01,182,182,1705,0,0,0
2023-06-05,SKU-001,DC-01,316,316,1389,0,0,0
2023-06-06,SKU-001,DC-01,311,311,1078,0,0,0
2023-06-07,SKU-001,DC-01,415,415,663,0,0,0
2023-06-08,SKU-001,DC-01,473,473,190,0,0,0
2023-06-09,SKU-001,DC-01,356,190,0,166,0,0
2023-06-10,SKU-001,DC-01,109,0,0,109,0,0
2023-06-11,SKU-001,DC-01,341,0,0,341,0,3216
2023-06-12,SKU-001,DC-01,123,0,0,123,0,0
2023-06-13,SKU-001,DC-01,148,0,0,148,0,0
2023-06-14,SKU-001,DC-01,71,71,3145,0,3216,0
2023-06-15,SKU-001,DC-01,244,244,2901,0,0,0
2023-06-16,SKU-001,DC-01,47,47,2854,0,0,0
2023-06-17,SKU-001,DC-01,147,147,2707,0,0,0
2023-06-18,SKU-001,DC-01,67,67,2640,0,0,0
2023-06-19,SKU-001,DC-01,213,213,2427,0,0,0
2023-06-20,SKU-001,DC-01,284,284,2143,0,0,0
2023-06-21,SKU-001,DC-01,154,154,1989,0,0,0
2023-06-22,SKU-001,DC-01,148,148,1841,0,0,0
2023-06-23,SKU-001,DC-01,270,270,1571,0,0,0
2023-06-24,SKU-001,DC-01,55,55,1516,0,0,0
2023-06-25,SKU-001,DC-01,148,148,1368,0,0,0
2023-06-26,SKU-001,DC-01,157,157,1211,0,0,0
2023-06-27,SKU-001,DC-01,214,214,997,0,0,0
2023-06-28,SKU-001,DC-01,113,113,884,0,0,0
2023-06-29,SKU-001,DC-01,186,186,698,0,0,0
2023-06-30,SKU-001,DC-01,283,283,415,0,0,0
2023-07-01,SKU-001,DC-01,126,126,289,0,0,0
2023-07-02,SKU-001,DC-01,59,59,230,0,0,2986
2023-07-03,SKU-001,DC-01,303,230,0,73,0,0
2023-07-04,SKU-001,DC-01,146,0,0,146,0,0
2023-07-05,SKU-001,DC-01,59,59,2927,0,2986,0
2023-07-06,SKU-001,DC-01,134,134,2793,0,0,0
2023-07-07,SKU-001,DC-01,180,180,2613,0,0,0
2023-07-08,SKU-001,DC-01,174,174,2439,0,0,0
2023-07-09,SKU-001,DC-01,224,224,2215,0,0,0
2023-07-10,SKU-001,DC-01,243,243,1972,0,0,0
2023-07-11,SKU-001,DC-01,530,530,1442,0,0,0
2023-07-12,SKU-001,DC-01,279,279,1163,0,0,0
2023-07-13,SKU-001,DC-01,324,324,839,0,0,0
2023-07-14,SKU-001,DC-01,237,237,602,0,0,0
2023-07-15,SKU-001,DC-01,149,149,453,0,0,0
2023-07-16,SKU-001,DC-01,97,97,356,0,0,2860
2023-07-17,SKU-001,DC-01,285,285,71,0,0,0
2023-07-18,SKU-001,DC-01,290,71,0,219,0,0
2023-07-19,SKU-001,DC-01,165,165,2695,0,2860,0
2023-07-20,SKU-001,DC-01,476,476,2219,0,0,0
2023-07-21,SKU-001,DC-01,230,230,1989,0,0,0
2023-07-22,SKU-001,DC-01,132,132,1857,0,0,0
2023-07-23,SKU-001,DC-01,160,160,1697,0,0,0
2023-07-24,SKU-001,DC-01,303,303,1394,0,0,0
2023-07-25,SKU-001,DC-01,311,311,1083,0,0,0
2023-07-26,SKU-001,DC-01,194,194,889,0,0,0
2023-07-27,SKU-001,DC-01,216,216,673,0,0,0
2023-07-28,SKU-001,DC-01,176,176,497,0,0,0
2023-07-29,SKU-001,DC-01,122,122,375,0,0,0
2023-07-30,SKU-001,DC-01,136,136,239,0,0,2977
2023-07-31,SKU-001,DC-01,643,239,0,404,0,0
2023-08-01,SKU-001,DC-01,163,0,0,163,0,0
2023-08-02,SKU-001,DC-01,130,130,2847,0,2977,0
2023-08-03,SKU-001,DC-01,217,217,2630,0,0,0
2023-08-04,SKU-001,DC-01,278,278,2352,0,0,0
2023-08-05,SKU-001,DC-01,105,105,2247,0,0,0
2023-08-06,SKU-001,DC-01,237,237,2010,0,0,0
2023-08-07,SKU-001,DC-01,267,267,1743,0,0,0
2023-08-08,SKU-001,DC-01,244,244,1499,0,0,0
2023-08-09,SKU-001,DC-01,187,187,1312,0,0,0
2023-08-10,SKU-001,DC-01,222,222,1090,0,0,0
2023-08-11,SKU-001,DC-01,211,211,879,0,0,0
2023-08-12,SKU-001,DC-01,78,78,801,0,0,0
2023-08-13,SKU-001,DC-01,163,163,638,0,0,2578
2023-08-14,SKU-001,DC-01,244,244,394,0,0,0
2023-08-15,SKU-001,DC-01,401,394,0,7,0,0
2023-08-16,SKU-001,DC-01,260,260,2318,0,2578,0
2023-08-17,SKU-001,DC-01,185,185,2133,0,0,0
2023-08-18,SKU-001,DC-01,331,331,1802,0,0,0
2023-08-19,SKU-001,DC-01,168,168,1634,0,0,0
2023-08-20,SKU-001,DC-01,92,92,1542,0,0,0
2023-08-21,SKU-001,DC-01,231,231,1311,0,0,0
2023-08-22,SKU-001,DC-01,114,114,1197,0,0,0
2023-08-23,SKU-001,DC-01,474,474,723,0,0,0
2023-08-24,SKU-001,DC-01,273,273,450,0,0,0
2023-08-25,SKU-001,DC-01,363,363,87,0,0,0
2023-08-26,SKU-001,DC-01,74,74,13,0,0,0
2023-08-27,SKU-001,DC-01,171,13,0,158,0,3216
2023-08-28,SKU-001,DC-01,318,0,0,318,0,0
2023-08-29,SKU-001,DC-01,337,0,0,337,0,0
2023-08-30,SKU-001,DC-01,498,498,2718,0,3216,0
2023-08-31,SKU-001,DC-01,131,131,2587,0,0,0
2023-09-01,SKU-001,DC-01,446,446,2141,0,0,0
2023-09-02,SKU-001,DC-01,94,94,2047,0,0,0
2023-09-03,SKU-001,DC-01,142,142,1905,0,0,0
2023-09-04,SKU-001,DC-01,156,156,1749,0,0,0
2023-09-05,SKU-001,DC-01,449,449,1300,0,0,0
2023-09-06,SKU-001,DC-01,289,289,1011,0,0,0
2023-09-07,SKU-001,DC-01,274,274,737,0,0,0
2023-09-08,SKU-001,DC-01,375,375,362,0,0,0
2023-09-09,SKU-001,DC-01,151,151,211,0,0,0
2023-09-10,SKU-001,DC-01,164,164,47,0,0,3169
2023-09-11,SKU-001,DC-01,113,47,0,66,0,0
2023-09-12,SKU-001,DC-01,308,0,0,308,0,0
2023-09-13,SKU-001,DC-01,535,535,2634,0,3169,0
2023-09-14,SKU-001,DC-01,248,248,2386,0,0,0
2023-09-15,SKU-001,DC-01,303,303,2083,0,0,0
2023-09-16,SKU-001,DC-01,132,132,1951,0,0,0
2023-09-17,SKU-001,DC-01,233,233,1718,0,0,0
2023-09-18,SKU-001,DC-01,402,402,1316,0,0,0
2023-09-19,SKU-001,DC-01,31,31,1285,0,0,0
2023-09-20,SKU-001,DC-01,337,337,948,0,0,0
2023-09-21,SKU-001,DC-01,441,441,507,0,0,0
2023-09-22,SKU-001,DC-01,147,147,360,0,0,0
2023-09-23,SKU-001,DC-01,110,110,250,0,0,0
2023-09-24,SKU-001,DC-01,209,209,41,0,0,3175
2023-09-25,SKU-001,DC-01,134,41,0,93,0,0
2023-09-26,SKU-001,DC-01,128,0,0,128,0,0
2023-09-27,SKU-001,DC-01,484,484,2691,0,3175,0
2023-09-28,SKU-001,DC-01,216,216,2475,0,0,0
2023-09-29,SKU-001,DC-01,264,264,2211,0,0,0
2023-09-30,SKU-001,DC-01,211,211,2000,0,0,0
2023-10-01,SKU-001,DC-01,147,147,1853,0,0,0
2023-10-02,SKU-001,DC-01,297,297,1556,0,0,0
2023-10-03,SKU-001,DC-01,326,326,1230,0,0,0
2023-10-04,SKU-001,DC-01,257,257,973,0,0,0
2023-10-05,SKU-001,DC-01,259,259,714,0,0,0
2023-10-06,SKU-001,DC-01,278,278,436,0,0,0
2023-10-07,SKU-001,DC-01,206,206,230,0,0,0
2023-10-08,SKU-001,DC-01,172,172,58,0,0,3158
2023-10-09,SKU-001,DC-01,507,58,0,449,0,0
2023-10-10,SKU-001,DC-01,216,0,0,216,0,0
2023-10-11,SKU-001,DC-01,326,326,2832,0,3158,0
2023-10-12,SKU-001,DC-01,112,112,2720,0,0,0
2023-10-13,SKU-001,DC-01,242,242,2478,0,0,0
2023-10-14,SKU-001,DC-01,122,122,2356,0,0,0
2023-10-15,SKU-001,DC-01,170,170,2186,0,0,0
2023-10-16,SKU-001,DC-01,522,522,1664,0,0,0
2023-10-17,SKU-001,DC-01,276,276,1388,0,0,0
2023-10-18,SKU-001,DC-01,140,140,1248,0,0,0
2023-10-19,SKU-001,DC-01,325,325,923,0,0,0
2023-10-20,SKU-001,DC-01,284,284,639,0,0,0
2023-10-21,SKU-001,DC-01,218,218,421,0,0,0
2023-10-22,SKU-001,DC-01,125,125,296,0,0,2920
2023-10-23,SKU-001,DC-01,182,182,114,0,0,0
2023-10-24,SKU-001,DC-01,243,114,0,129,0,0
2023-10-25,SKU-001,DC-01,376,376,2544,0,2920,0
2023-10-26,SKU-001,DC-01,112,112,2432,0,0,0
2023-10-27,SKU-001,DC-01,389,389,2043,0,0,0
2023-10-28,SKU-001,DC-01,129,129,1914,0,0,0
2023-10-29,SKU-001,DC-01,135,135,1779,0,0,0
2023-10-30,SKU-001,DC-01,378,378,1401,0,0,0
2023-10-31,SKU-001,DC-01,505,505,896,0,0,0
2023-11-01,SKU-001,DC-01,495,495,401,0,0,0
2023-11-02,SKU-001,DC-01,198,198,203,0,0,0
2023-11-03,SKU-001,DC-01,604,203,0,401,0,0
2023-11-04,SKU-001,DC-01,168,0,0,168,0,0
2023-11-05,SKU-001,DC-01,315,0,0,315,0,3216
2023-11-06,SKU-001,DC-01,115,0,0,115,0,0
2023-11-07,SKU-001,DC-01,255,0,0,255,0,0
2023-11-08,SKU-001,DC-01,358,358,2858,0,3216,0
2023-11-09,SKU-001,DC-01,254,254,2604,0,0,0
2023-11-10,SKU-001,DC-01,236,236,2368,0,0,0
2023-11-11,SKU-001,DC-01,234,234,2134,0,0,0
2023-11-12,SKU-001,DC-01,198,198,1936,0,0,0
2023-11-13,SKU-001,DC-01,282,282,1654,0,0,0
2023-11-14,SKU-001,DC-01,123,123,1531,0,0,0
2023-11-15,SKU-001,DC-01,709,709,822,0,0,0
2023-11-16,SKU-001,DC-01,483,483,339,0,0,0
2023-11-17,SKU-001,DC-01,308,308,31,0,0,0
2023-11-18,SKU-001,DC-01,195,31,0,164,0,0
2023-11-19,SKU-001,DC-01,178,0,0,178,0,3216
2023-11-20,SKU-001,DC-01,368,0,0,368,0,0
2023-11-21,SKU-001,DC-01,390,0,0,390,0,0
2023-11-22,SKU-001,DC-01,576,576,2640,0,3216,0
2023-11-23,SKU-001,DC-01,573,573,2067,0,0,0
2023-11-24,SKU-001,DC-01,552,552,1515,0,0,0
2023-11-25,SKU-001,DC-01,153,153,1362,0,0,0
2023-11-26,SKU-001,DC-01,78,78,1284,0,0,0
2023-11-27,SKU-001,DC-01,386,386,898,0,0,0
2023-11-28,SKU-001,DC-01,203,203,695,0,0,0
2023-11-29,SKU-001,DC-01,194,194,501,0,0,0
2023-11-30,SKU-001,DC-01,170,170,331,0,0,0
2023-12-01,SKU-001,DC-01,382,331,0,51,0,0
2023-12-02,SKU-001,DC-01,366,0,0,366,0,0
2023-12-03,SKU-001,DC-01,179,0,0,179,0,3216
2023-12-04,SKU-001,DC-01,385,0,0,385,0,0
2023-12-05,SKU-001,DC-01,279,0,0,279,0,0
2023-12-06,SKU-001,DC-01,310,310,2906,0,3216,0
2023-12-07,SKU-001,DC-01,183,183,2723,0,0,0
2023-12-08,SKU-001,DC-01,342,342,2381,0,0,0
2023-12-09,SKU-001,DC-01,198,198,2183,0,0,0
2023-12-10,SKU-001,DC-01,131,131,2052,0,0,0
2023-12-11,SKU-001,DC-01,803,803,1249,0,0,0
2023-12-12,SKU-001,DC-01,327,327,922,0,0,0
2023-12-13,SKU-001,DC-01,330,330,592,0,0,0
2023-12-14,SKU-001,DC-01,440,440,152,0,0,0
2023-12-15,SKU-001,DC-01,464,152,0,312,0,0
2023-12-16,SKU-001,DC-01,163,0,0,163,0,0
2023-12-17,SKU-001,DC-01,110,0,0,110,0,3216
2023-12-18,SKU-001,DC-01,517,0,0,517,0,0
2023-12-19,SKU-001,DC-01,291,0,0,291,0,0
2023-12-20,SKU-001,DC-01,706,706,2510,0,3216,0
2023-12-21,SKU-001,DC-01,266,266,2244,0,0,0
2023-12-22,SKU-001,DC-01,241,241,2003,0,0,0
2023-12-23,SKU-001,DC-01,166,166,1837,0,0,0
2023-12-24,SKU-001,DC-01,207,207,1630,0,0,0
2023-12-25,SKU-001,DC-01,297,297,1333,0,0,0
2023-12-26,SKU-001,DC-01,374,374,959,0,0,0
2023-12-27,SKU-001,DC-01,248,248,711,0,0,0
2023-12-28,SKU-001,DC-01,127,127,584,0,0,0
2023-12-29,SKU-001,DC-01,164,164,420,0,0,0
2023-12-30,SKU-001,DC-01,190,190,230,0,0,0
2023-12-31,SKU-001,DC-01,185,185,45,0,0,3171
2024-01-01,SKU-001,DC-01,256,45,0,211,0,0
2024-01-02,SKU-001,DC-01,489,0,0,489,0,0
2024-01-03,SKU-001,DC-01,228,228,2943,0,3171,0
2024-01-04,SKU-001,DC-01,386,386,2557,0,0,0
2024-01-05,SKU-001,DC-01,328,328,2229,0,0,0
2024-01-06,SKU-001,DC-01,181,181,2048,0,0,0
2024-01-07,SKU-001,DC-01,117,117,1931,0,0,0
2024-01-08,SKU-001,DC-01,300,300,1631,0,0,0
2024-01-09,SKU-001,DC-01,506,506,1125,0,0,0
2024-01-10,SKU-001,DC-01,576,576,549,0,0,0
2024-01-11,SKU-001,DC-01,354,354,195,0,0,0
2024-01-12,SKU-001,DC-01,188,188,7,0,0,0
2024-01-13,SKU-001,DC-01,295,7,0,288,0,0
2024-01-14,SKU-001,DC-01,155,0,0,155,0,3216
2024-01-15,SKU-001,DC-01,435,0,0,435,0,0
2024-01-16,SKU-001,DC-01,690,0,0,690,0,0
2024-01-17,SKU-001,DC-01,430,430,2786,0,3216,0
2024-01-18,SKU-001,DC-01,226,226,2560,0,0,0
2024-01-19,SKU-001,DC-01,322,322,2238,0,0,0
2024-01-20,SKU-001,DC-01,169,169,2069,0,0,0
2024-01-21,SKU-001,DC-01,161,161,1908,0,0,0
2024-01-22,SKU-001,DC-01,303,303,1605,0,0,0
2024-01-23,SKU-001,DC-01,451,451,1154,0,0,0
2024-01-24,SKU-001,DC-01,482,482,672,0,0,0
2024-01-25,SKU-001,DC-01,677,672,0,5,0,0
2024-01-26,SKU-001,DC-01,423,0,0,423,0,0
2024-01-27,SKU-001,DC-01,220,0,0,220,0,0
2024-01-28,SKU-001,DC-01,91,0,0,91,0,3216
2024-01-29,SKU-001,DC-01,380,0,0,380,0,0
2024-01-30,SKU-001,DC-01,639,0,0,639,0,0
2024-01-31,SKU-001,DC-01,189,189,3027,0,3216,0
2024-02-01,SKU-001,DC-01,213,213,2814,0,0,0
2024-02-02,SKU-001,DC-01,220,220,2594,0,0,0
2024-02-03,SKU-001,DC-01,347,347,2247,0,0,0
2024-02-04,SKU-001,DC-01,281,281,1966,0,0,0
2024-02-05,SKU-001,DC-01,847,847,1119,0,0,0
2024-02-06,SKU-001,DC-01,223,223,896,0,0,0
2024-02-07,SKU-001,DC-01,980,896,0,84,0,0
2024-02-08,SKU-001,DC-01,365,0,0,365,0,0
2024-02-09,SKU-001,DC-01,378,0,0,378,0,0
2024-02-10,SKU-001,DC-01,241,0,0,241,0,0
2024-02-11,SKU-001,DC-01,119,0,0,119,0,3216
2024-02-12,SKU-001,DC-01,406,0,0,406,0,0
2024-02-13,SKU-001,DC-01,545,0,0,545,0,0
2024-02-14,SKU-001,DC-01,308,308,2908,0,3216,0
2024-02-15,SKU-001,DC-01,533,533,2375,0,0,0
2024-02-16,SKU-001,DC-01,104,104,2271,0,0,0
2024-02-17,SKU-001,DC-01,264,264,2007,0,0,0
2024-02-18,SKU-001,DC-01,241,241,1766,0,0,0
2024-02-19,SKU-001,DC-01,352,352,1414,0,0,0
2024-02-20,SKU-001,DC-01,193,193,1221,0,0,0
2024-02-21,SKU-001,DC-01,405,405,816,0,0,0
2024-02-22,SKU-001,DC-01,318,318,498,0,0,0
2024-02-23,SKU-001,DC-01,399,399,99,0,0,0
2024-02-24,SKU-001,DC-01,138,99,0,39,0,0
2024-02-25,SKU-001,DC-01,80,0,0,80,0,3216
2024-02-26,SKU-001,DC-01,160,0,0,160,0,0
2024-02-27,SKU-001,DC-01,813,0,0,813,0,0
2024-02-28,SKU-001,DC-01,518,518,2698,0,3216,0
2024-02-29,SKU-001,DC-01,276,276,2422,0,0,0
2024-03-01,SKU-001,DC-01,402,402,2020,0,0,0
2024-03-02,SKU-001,DC-01,139,139,1881,0,0,0
2024-03-03,SKU-001,DC-01,300,300,1581,0,0,0
2024-03-04,SKU-001,DC-01,214,214,1367,0,0,0
2024-03-05,SKU-001,DC-01,480,480,887,0,0,0
2024-03-06,SKU-001,DC-01,345,345,542,0,0,0
2024-03-07,SKU-001,DC-01,224,224,318,0,0,0
2024-03-08,SKU-001,DC-01,458,318,0,140,0,0
2024-03-09,SKU-001,DC-01,172,0,0,172,0,0
2024-03-10,SKU-001,DC-01,316,0,0,316,0,3216
2024-03-11,SKU-001,DC-01,210,0,0,210,0,0
2024-03-12,SKU-001,DC-01,173,0,0,173,0,0
2024-03-13,SKU-001,DC-01,176,176,3040,0,3216,0
2024-03-14,SKU-001,DC-01,501,501,2539,0,0,0
2024-03-15,SKU-001,DC-01,401,401,2138,0,0,0
2024-03-16,SKU-001,DC-01,206,206,1932,0,0,0
2024-03-17,SKU-001,DC-01,192,192,1740,0,0,0
2024-03-18,SKU-001,DC-01,282,282,1458,0,0,0
2024-03-19,SKU-001,DC-01,233,233,1225,0,0,0
2024-03-20,SKU-001,DC-01,205,205,1020,0,0,0
2024-03-21,SKU-001,DC-01,548,548,472,0,0,0
2024-03-22,SKU-001,DC-01,311,311,161,0,0,0
2024-03-23,SKU-001,DC-01,183,161,0,22,0,0
2024-03-24,SKU-001,DC-01,309,0,0,309,0,3216
2024-03-25,SKU-001,DC-01,269,0,0,269,0,0
2024-03-26,SKU-001,DC-01,110,0,0,110,0,0
2024-03-27,SKU-001,DC-01,291,291,2925,0,3216,0
2024-03-28,SKU-001,DC-01,333,333,2592,0,0,0
