date,product_id,center_id,units_ordered
2023-03-20,SKU-001,DC-01,318
2023-03-21,SKU-001,DC-01,379
2023-03-22,SKU-001,DC-01,140
2023-03-23,SKU-001,DC-01,268
2023-03-24,SKU-001,DC-01,600
2023-03-25,SKU-001,DC-01,66
2023-03-26,SKU-001,DC-01,145
2023-03-27,SKU-001,DC-01,73
2023-03-28,SKU-001,DC-01,334
2023-03-29,SKU-001,DC-01,411
2023-03-30,SKU-001,DC-01,316
2023-03-31,SKU-001,DC-01,355
2023-04-01,SKU-001,DC-01,139
2023-04-02,SKU-001,DC-01,245
2023-04-03,SKU-001,DC-01,180
2023-04-04,SKU-001,DC-01,146
2023-04-05,SKU-001,DC-01,286
2023-04-06,SKU-001,DC-01,127
2023-04-07,SKU-001,DC-01,255
2023-04-08,SKU-001,DC-01,102
2023-04-09,SKU-001,DC-01,214
2023-04-10,SKU-001,DC-01,255
2023-04-11,SKU-001,DC-01,118
2023-04-12,SKU-001,DC-01,625
2023-04-13,SKU-001,DC-01,240
2023-04-14,SKU-001,DC-01,645
2023-04-15,SKU-001,DC-01,201
2023-04-16,SKU-001,DC-01,177
2023-04-17,SKU-001,DC-01,663
2023-04-18,SKU-001,DC-01,302
2023-04-19,SKU-001,DC-01,366
2023-04-20,SKU-001,DC-01,446
2023-04-21,SKU-001,DC-01,265
2023-04-22,SKU-001,DC-01,171
2023-04-23,SKU-001,DC-01,89
2023-04-24,SKU-001,DC-01,309
2023-04-25,SKU-001,DC-01,114
2023-04-26,SKU-001,DC-01,305
2023-04-27,SKU-001,DC-01,144
2023-04-28,SKU-001,DC-01,461
2023-04-29,SKU-001,DC-01,131
2023-04-30,SKU-001,DC-01,147
2023-05-01,SKU-001,DC-01,141
2023-05-02,SKU-001,DC-01,132
2023-05-03,SKU-001,DC-01,260
2023-05-04,SKU-001,DC-01,228
2023-05-05,SKU-001,DC-01,409
2023-05-06,SKU-001,DC-01,143
2023-05-07,SKU-001,DC-01,118
2023-05-08,SKU-001,DC-01,297
2023-05-09,SKU-001,DC-01,162
2023-05-10,SKU-001,DC-01,257
2023-05-11,SKU-001,DC-01,185
2023-05-12,SKU-001,DC-01,265
2023-05-13,SKU-001,DC-01,108
2023-05-14,SKU-001,DC-01,274
2023-05-15,SKU-001,DC-01,315
2023-05-16,SKU-001,DC-01,39
2023-05-17,SKU-001,DC-01,228
2023-05-18,SKU-001,DC-01,378
2023-05-19,SKU-001,DC-01,175
2023-05-20,SKU-001,DC-01,87
2023-05-21,SKU-001,DC-01,140
2023-05-22,SKU-001,DC-01,193
2023-05-23,SKU-001,DC-01,220
2023-05-24,SKU-001,DC-01,279
2023-05-25,SKU-001,DC-01,285
2023-05-26,SKU-001,DC-01,188
2023-05-27,SKU-001,DC-01,189
2023-05-28,SKU-001,DC-01,102
2023-05-29,SKU-001,DC-01,170
2023-05-30,SKU-001,DC-01,252
2023-05-31,SKU-001,DC-01,217
2023-06-01,SKU-001,DC-01,212
2023-06-02,SKU-001,DC-01,219
2023-06-03,SKU-001,DC-01,259
2023-06-04,SKU-001,DC-01,182
2023-06-05,SKU-001,DC-01,316
2023-06-06,SKU-001,DC-01,311
2023-06-07,SKU-001,DC-01,415
2023-06-08,SKU-001,DC-01,473
2023-06-09,SKU-001,DC-01,356
2023-06-10,SKU-001,DC-01,109
2023-06-11,SKU-001,DC-01,341
2023-06-12,SKU-001,DC-01,123
2023-06-13,SKU-001,DC-01,148
2023-06-14,SKU-001,DC-01,71
2023-06-15,SKU-001,DC-01,244
2023-06-16,SKU-001,DC-01,47
2023-06-17,SKU-001,DC-01,147
2023-06-18,SKU-001,DC-01,67
2023-06-19,SKU-001,DC-01,213
2023-06-20,SKU-001,DC-01,284
2023-06-21,SKU-001,DC-01,154
2023-06-22,SKU-001,DC-01,148
2023-06-23,SKU-001,DC-01,270
2023-06-24,SKU-001,DC-01,55
2023-06-25,SKU-001,DC-01,148
2023-06-26,SKU-001,DC-01,157
2023-06-27,SKU-001,DC-01,214
2023-06-28,SKU-001,DC-01,113
2023-06-29,SKU-001,DC-01,186
2023-06-30,SKU-001,DC-01,283
2023-07-01,SKU-001,DC-01,126
2023-07-02,SKU-001,DC-01,59
2023-07-03,SKU-001,DC-01,303
2023-07-04,SKU-001,DC-01,146
2023-07-05,SKU-001,DC-01,59
2023-07-06,SKU-001,DC-01,134
2023-07-07,SKU-001,DC-01,180
2023-07-08,SKU-001,DC-01,174
2023-07-09,SKU-001,DC-01,224
2023-07-10,SKU-001,DC-01,243
2023-07-11,SKU-001,DC-01,530
2023-07-12,SKU-001,DC-01,279
2023-07-13,SKU-001,DC-01,324
2023-07-14,SKU-001,DC-01,237
2023-07-15,SKU-001,DC-01,149
2023-07-16,SKU-001,DC-01,97
2023-07-17,SKU-001,DC-01,285
2023-07-18,SKU-001,DC-01,290
2023-07-19,SKU-001,DC-01,165
2023-07-20,SKU-001,DC-01,476
2023-07-21,SKU-001,DC-01,230
2023-07-22,SKU-001,DC-01,132
2023-07-23,SKU-001,DC-01,160
2023-07-24,SKU-001,DC-01,303
2023-07-25,SKU-001,DC-01,311
2023-07-26,SKU-001,DC-01,194
2023-07-27,SKU-001,DC-01,216
2023-07-28,SKU-001,DC-01,176
2023-07-29,SKU-001,DC-01,122
2023-07-30,SKU-001,DC-01,136
2023-07-31,SKU-001,DC-01,643
2023-08-01,SKU-001,DC-01,163
2023-08-02,SKU-001,DC-01,130
2023-08-03,SKU-001,DC-01,217
2023-08-04,SKU-001,DC-01,278
2023-08-05,SKU-001,DC-01,105
2023-08-06,SKU-001,DC-01,237
2023-08-07,SKU-001,DC-01,267
2023-08-08,SKU-001,DC-01,244
2023-08-09,SKU-001,DC-01,187
2023-08-10,SKU-001,DC-01,222
2023-08-11,SKU-001,DC-01,211
2023-08-12,SKU-001,DC-01,78
2023-08-13,SKU-001,DC-01,163
2023-08-14,SKU-001,DC-01,244
2023-08-15,SKU-001,DC-01,401
2023-08-16,SKU-001,DC-01,260
2023-08-17,SKU-001,DC-01,185
2023-08-18,SKU-001,DC-01,331
2023-08-19,SKU-001,DC-01,168
2023-08-20,SKU-001,DC-01,92
2023-08-21,SKU-001,DC-01,231
2023-08-22,SKU-001,DC-01,114
2023-08-23,SKU-001,DC-01,474
2023-08-24,SKU-001,DC-01,273
2023-08-25,SKU-001,DC-01,363
2023-08-26,SKU-001,DC-01,74
2023-08-27,SKU-001,DC-01,171
2023-08-28,SKU-001,DC-01,318
2023-08-29,SKU-001,DC-01,337
2023-08-30,SKU-001,DC-01,498
2023-08-31,SKU-001,DC-01,131
2023-09-01,SKU-001,DC-01,446
2023-09-02,SKU-001,DC-01,94
2023-09-03,SKU-001,DC-01,142
2023-09-04,SKU-001,DC-01,156
2023-09-05,SKU-001,DC-01,449
2023-09-06,SKU-001,DC-01,289
2023-09-07,SKU-001,DC-01,274
2023-09-08,SKU-001,DC-01,375
2023-09-09,SKU-001,DC-01,151
2023-09-10,SKU-001,DC-01,164
2023-09-11,SKU-001,DC-01,113
2023-09-12,SKU-001,DC-01,308
2023-09-13,SKU-001,DC-01,535
2023-09-14,SKU-001,DC-01,248
2023-09-15,SKU-001,DC-01,303
2023-09-16,SKU-001,DC-01,132
2023-09-17,SKU-001,DC-01,233
2023-09-18,SKU-001,DC-01,402
2023-09-19,SKU-001,DC-01,31
2023-09-20,SKU-001,DC-01,337
2023-09-21,SKU-001,DC-01,441
2023-09-22,SKU-001,DC-01,147
2023-09-23,SKU-001,DC-01,110
2023-09-24,SKU-001,DC-01,209
2023-09-25,SKU-001,DC-01,134
2023-09-26,SKU-001,DC-01,128
2023-09-27,SKU-001,DC-01,484
2023-09-28,SKU-001,DC-01,216
2023-09-29,SKU-001,DC-01,264
2023-09-30,SKU-001,DC-01,211
2023-10-01,SKU-001,DC-01,147
2023-10-02,SKU-001,DC-01,297
2023-10-03,SKU-001,DC-01,326
2023-10-04,SKU-001,DC-01,257
2023-10-05,SKU-001,DC-01,259
2023-10-06,SKU-001,DC-01,278
2023-10-07,SKU-001,DC-01,206
2023-10-08,SKU-001,DC-01,172
2023-10-09,SKU-001,DC-01,507
2023-10-10,SKU-001,DC-01,216
2023-10-11,SKU-001,DC-01,326
2023-10-12,SKU-001,DC-01,112
2023-10-13,SKU-001,DC-01,242
2023-10-14,SKU-001,DC-01,122
2023-10-15,SKU-001,DC-01,170
2023-10-16,SKU-001,DC-01,522
2023-10-17,SKU-001,DC-01,276
2023-10-18,SKU-001,DC-01,140
2023-10-19,SKU-001,DC-01,325
2023-10-20,SKU-001,DC-01,284
2023-10-21,SKU-001,DC-01,218
2023-10-22,SKU-001,DC-01,125
2023-10-23,SKU-001,DC-01,182
2023-10-24,SKU-001,DC-01,243
2023-10-25,SKU-001,DC-01,376
2023-10-26,SKU-001,DC-01,112
2023-10-27,SKU-001,DC-01,389
2023-10-28,SKU-001,DC-01,129
2023-10-29,SKU-001,DC-01,135
2023-10-30,SKU-001,DC-01,378
2023-10-31,SKU-001,DC-01,505
2023-11-01,SKU-001,DC-01,495
2023-11-02,SKU-001,DC-01,198
2023-11-03,SKU-001,DC-01,604
2023-11-04,SKU-001,DC-01,168
2023-11-05,SKU-001,DC-01,315
2023-11-06,SKU-001,DC-01,115
2023-11-07,SKU-001,DC-01,255
2023-11-08,SKU-001,DC-01,358
2023-11-09,SKU-001,DC-01,254
2023-11-10,SKU-001,DC-01,236
2023-11-11,SKU-001,DC-01,234
2023-11-12,SKU-001,DC-01,198
2023-11-13,SKU-001,DC-01,282
2023-11-14,SKU-001,DC-01,123
2023-11-15,SKU-001,DC-01,709
2023-11-16,SKU-001,DC-01,483
2023-11-17,SKU-001,DC-01,308
2023-11-18,SKU-001,DC-01,195
2023-11-19,SKU-001,DC-01,178
2023-11-20,SKU-001,DC-01,368
2023-11-21,SKU-001,DC-01,390
2023-11-22,SKU-001,DC-01,576
2023-11-23,SKU-001,DC-01,573
2023-11-24,SKU-001,DC-01,552
2023-11-25,SKU-001,DC-01,153
2023-11-26,SKU-001,DC-01,78
2023-11-27,SKU-001,DC-01,386
2023-11-28,SKU-001,DC-01,203
2023-11-29,SKU-001,DC-01,194
2023-11-30,SKU-001,DC-01,170
2023-12-01,SKU-001,DC-01,382
2023-12-02,SKU-001,DC-01,366
2023-12-03,SKU-001,DC-01,179
2023-12-04,SKU-001,DC-01,385
2023-12-05,SKU-001,DC-01,279
2023-12-06,SKU-001,DC-01,310
2023-12-07,SKU-001,DC-01,183
2023-12-08,SKU-001,DC-01,342
2023-12-09,SKU-001,DC-01,198
2023-12-10,SKU-001,DC-01,131
2023-12-11,SKU-001,DC-01,803
2023-12-12,SKU-001,DC-01,327
2023-12-13,SKU-001,DC-01,330
2023-12-14,SKU-001,DC-01,440
2023-12-15,SKU-001,DC-01,464
2023-12-16,SKU-001,DC-01,163
2023-12-17,SKU-001,DC-01,110
2023-12-18,SKU-001,DC-01,517
2023-12-19,SKU-001,DC-01,291
2023-12-20,SKU-001,DC-01,706
2023-12-21,SKU-001,DC-01,266
2023-12-22,SKU-001,DC-01,241
2023-12-23,SKU-001,DC-01,166
2023-12-24,SKU-001,DC-01,207
2023-12-25,SKU-001,DC-01,297
2023-12-26,SKU-001,DC-01,374
2023-12-27,SKU-001,DC-01,248
2023-12-28,SKU-001,DC-01,127
2023-12-29,SKU-001,DC-01,164
2023-12-30,SKU-001,DC-01,190
2023-12-31,SKU-001,DC-01,185
2024-01-01,SKU-001,DC-01,256
2024-01-02,SKU-001,DC-01,489
2024-01-03,SKU-001,DC-01,228
2024-01-04,SKU-001,DC-01,386
2024-01-05,SKU-001,DC-01,328
2024-01-06,SKU-001,DC-01,181
2024-01-07,SKU-001,DC-01,117
2024-01-08,SKU-001,DC-01,300
2024-01-09,SKU-001,DC-01,506
2024-01-10,SKU-001,DC-01,576
2024-01-11,SKU-001,DC-01,354
2024-01-12,SKU-001,DC-01,188
2024-01-13,SKU-001,DC-01,295
2024-01-14,SKU-001,DC-01,155
2024-01-15,SKU-001,DC-01,435
2024-01-16,SKU-001,DC-01,690
2024-01-17,SKU-001,DC-01,430
2024-01-18,SKU-001,DC-01,226
2024-01-19,SKU-001,DC-01,322
2024-01-20,SKU-001,DC-01,169
2024-01-21,SKU-001,DC-01,161
2024-01-22,SKU-001,DC-01,303
2024-01-23,SKU-001,DC-01,451
2024-01-24,SKU-001,DC-01,482
2024-01-25,SKU-001,DC-01,677
2024-01-26,SKU-001,DC-01,423
2024-01-27,SKU-001,DC-01,220
2024-01-28,SKU-001,DC-01,91
2024-01-29,SKU-001,DC-01,380
2024-01-30,SKU-001,DC-01,639
2024-01-31,SKU-001,DC-01,189
2024-02-01,SKU-001,DC-01,213
2024-02-02,SKU-001,DC-01,220
2024-02-03,SKU-001,DC-01,347
2024-02-04,SKU-001,DC-01,281
2024-02-05,SKU-001,DC-01,847
2024-02-06,SKU-001,DC-01,223
2024-02-07,SKU-001,DC-01,980
2024-02-08,SKU-001,DC-01,365
2024-02-09,SKU-001,DC-01,378
2024-02-10,SKU-001,DC-01,241
2024-02-11,SKU-001,DC-01,119
2024-02-12,SKU-001,DC-01,406
2024-02-13,SKU-001,DC-01,545
2024-02-14,SKU-001,DC-01,308
2024-02-15,SKU-001,DC-01,533
2024-02-16,SKU-001,DC-01,104
2024-02-17,SKU-001,DC-01,264
2024-02-18,SKU-001,DC-01,241
2024-02-19,SKU-001,DC-01,352
2024-02-20,SKU-001,DC-01,193
2024-02-21,SKU-001,DC-01,405
2024-02-22,SKU-001,DC-01,318
2024-02-23,SKU-001,DC-01,399
2024-02-24,SKU-001,DC-01,138
2024-02-25,SKU-001,DC-01,80
2024-02-26,SKU-001,DC-01,160
2024-02-27,SKU-001,DC-01,813
2024-02-28,SKU-001,DC-01,518
2024-02-29,SKU-001,DC-01,276
2024-03-01,SKU-001,DC-01,402
2024-03-02,SKU-001,DC-01,139
2024-03-03,SKU-001,DC-01,300
2024-03-04,SKU-001,DC-01,214
2024-03-05,SKU-001,DC-01,480
2024-03-06,SKU-001,DC-01,345
2024-03-07,SKU-001,DC-01,224
2024-03-08,SKU-001,DC-01,458
2024-03-09,SKU-001,DC-01,172
2024-03-10,SKU-001,DC-01,316
2024-03-11,SKU-001,DC-01,210
2024-03-12,SKU-001,DC-01,173
2024-03-13,SKU-001,DC-01,176
2024-03-14,SKU-001,DC-01,501
2024-03-15,SKU-001,DC-01,401
2024-03-16,SKU-001,DC-01,206
2024-03-17,SKU-001,DC-01,192
2024-03-18,SKU-001,DC-01,282
2024-03-19,SKU-001,DC-01,233
2024-03-20,SKU-001,DC-01,205
2024-03-21,SKU-001,DC-01,548
2024-03-22,SKU-001,DC-01,311
2024-03-23,SKU-001,DC-01,183
2024-03-24,SKU-001,DC-01,309
2024-03-25,SKU-001,DC-01,269
2024-03-26,SKU-001,DC-01,110
2024-03-27,SKU-001,DC-01,291
2024-03-28,SKU-001,DC-01,333
2024-03-29,SKU-001,DC-01,458
2024-03-30,SKU-001,DC-01,112
2024-03-31,SKU-001,DC-01,196
2024-04-01,SKU-001,DC-01,329
2024-04-02,SKU-001,DC-01,225
2024-04-03,SKU-001,DC-01,225
2024-04-04,SKU-001,DC-01,306
2024-04-05,SKU-001,DC-01,387
2024-04-06,SKU-001,DC-01,258
2024-04-07,SKU-001,DC-01,179
2024-04-08,SKU-001,DC-01,260
2024-04-09,SKU-001,DC-01,377
2024-04-10,SKU-001,DC-01,233
2024-04-11,SKU-001,DC-01,727
2024-04-12,SKU-001,DC-01,180
2024-04-13,SKU-001,DC-01,309
2024-04-14,SKU-001,DC-01,116
2024-04-15,SKU-001,DC-01,177
2024-04-16,SKU-001,DC-01,431
2024-04-17,SKU-001,DC-01,300
2024-04-18,SKU-001,DC-01,241
2024-04-19,SKU-001,DC-01,61
2024-04-20,SKU-001,DC-01,184
2024-04-21,SKU-001,DC-01,98
2024-04-22,SKU-001,DC-01,338
2024-04-23,SKU-001,DC-01,466
2024-04-24,SKU-001,DC-01,250
2024-04-25,SKU-001,DC-01,462
2024-04-26,SKU-001,DC-01,295
2024-04-27,SKU-001,DC-01,225
2024-04-28,SKU-001,DC-01,288
2024-04-29,SKU-001,DC-01,307
2024-04-30,SKU-001,DC-01,179
2024-05-01,SKU-001,DC-01,507
2024-05-02,SKU-001,DC-01,334
2024-05-03,SKU-001,DC-01,584
2024-05-04,SKU-001,DC-01,172
2024-05-05,SKU-001,DC-01,179
2024-05-06,SKU-001,DC-01,217
2024-05-07,SKU-001,DC-01,440
2024-05-08,SKU-001,DC-01,391
2024-05-09,SKU-001,DC-01,296
2024-05-10,SKU-001,DC-01,137
2024-05-11,SKU-001,DC-01,143
2024-05-12,SKU-001,DC-01,122
2024-05-13,SKU-001,DC-01,166
2024-05-14,SKU-001,DC-01,286
2024-05-15,SKU-001,DC-01,267
2024-05-16,SKU-001,DC-01,182
2024-05-17,SKU-001,DC-01,111
2024-05-18,SKU-001,DC-01,80
2024-05-19,SKU-001,DC-01,134
2024-05-20,SKU-001,DC-01,119
2024-05-21,SKU-001,DC-01,182
2024-05-22,SKU-001,DC-01,394
2024-05-23,SKU-001,DC-01,236
2024-05-24,SKU-001,DC-01,90
2024-05-25,SKU-001,DC-01,97
2024-05-26,SKU-001,DC-01,89
2024-05-27,SKU-001,DC-01,229
2024-05-28,SKU-001,DC-01,263
2024-05-29,SKU-001,DC-01,258
2024-05-30,SKU-001,DC-01,365
2024-05-31,SKU-001,DC-01,197
2024-06-01,SKU-001,DC-01,73
2024-06-02,SKU-001,DC-01,122
2024-06-03,SKU-001,DC-01,450
2024-06-04,SKU-001,DC-01,270
2024-06-05,SKU-001,DC-01,366
2024-06-06,SKU-001,DC-01,469
2024-06-07,SKU-001,DC-01,337
2024-06-08,SKU-001,DC-01,116
2024-06-09,SKU-001,DC-01,147
2024-06-10,SKU-001,DC-01,131
2024-06-11,SKU-001,DC-01,161
2024-06-12,SKU-001,DC-01,264
2024-06-13,SKU-001,DC-01,90
2024-06-14,SKU-001,DC-01,281
2024-06-15,SKU-001,DC-01,110
2024-06-16,SKU-001,DC-01,102
2024-06-17,SKU-001,DC-01,169
2024-06-18,SKU-001,DC-01,203
2024-06-19,SKU-001,DC-01,103
2024-06-20,SKU-001,DC-01,257
2024-06-21,SKU-001,DC-01,337
2024-06-22,SKU-001,DC-01,99
2024-06-23,SKU-001,DC-01,31
2024-06-24,SKU-001,DC-01,203
2024-06-25,SKU-001,DC-01,130
2024-06-26,SKU-001,DC-01,232
2024-06-27,SKU-001,DC-01,270
2024-06-28,SKU-001,DC-01,161
2024-06-29,SKU-001,DC-01,178
2024-06-30,SKU-001,DC-01,157
2024-07-01,SKU-001,DC-01,136
2024-07-02,SKU-001,DC-01,406
2024-07-03,SKU-001,DC-01,366
2024-07-04,SKU-001,DC-01,226
2024-07-05,SKU-001,DC-01,208
2024-07-06,SKU-001,DC-01,53
2024-07-07,SKU-001,DC-01,158
2024-07-08,SKU-001,DC-01,179
2024-07-09,SKU-001,DC-01,181
2024-07-10,SKU-001,DC-01,234
2024-07-11,SKU-001,DC-01,150
2024-07-12,SKU-001,DC-01,206
2024-07-13,SKU-001,DC-01,63
2024-07-14,SKU-001,DC-01,123
2024-07-15,SKU-001,DC-01,82
2024-07-16,SKU-001,DC-01,187
2024-07-17,SKU-001,DC-01,216
2024-07-18,SKU-001,DC-01,428
2024-07-19,SKU-001,DC-01,218
2024-07-20,SKU-001,DC-01,132
2024-07-21,SKU-001,DC-01,142
2024-07-22,SKU-001,DC-01,136
2024-07-23,SKU-001,DC-01,337
2024-07-24,SKU-001,DC-01,217
2024-07-25,SKU-001,DC-01,112
2024-07-26,SKU-001,DC-01,230
2024-07-27,SKU-001,DC-01,218
2024-07-28,SKU-001,DC-01,220
2024-07-29,SKU-001,DC-01,362
2024-07-30,SKU-001,DC-01,355
2024-07-31,SKU-001,DC-01,331
2024-08-01,SKU-001,DC-01,159
2024-08-02,SKU-001,DC-01,269
2024-08-03,SKU-001,DC-01,174
2024-08-04,SKU-001,DC-01,78
2024-08-05,SKU-001,DC-01,130
2024-08-06,SKU-001,DC-01,375
2024-08-07,SKU-001,DC-01,133
2024-08-08,SKU-001,DC-01,381
2024-08-09,SKU-001,DC-01,225
2024-08-10,SKU-001,DC-01,77
2024-08-11,SKU-001,DC-01,228
2024-08-12,SKU-001,DC-01,435
2024-08-13,SKU-001,DC-01,547
2024-08-14,SKU-001,DC-01,513
2024-08-15,SKU-001,DC-01,365
2024-08-16,SKU-001,DC-01,168
2024-08-17,SKU-001,DC-01,116
2024-08-18,SKU-001,DC-01,202
2024-08-19,SKU-001,DC-01,240
2024-08-20,SKU-001,DC-01,549
2024-08-21,SKU-001,DC-01,365
2024-08-22,SKU-001,DC-01,286
2024-08-23,SKU-001,DC-01,237
2024-08-24,SKU-001,DC-01,156
2024-08-25,SKU-001,DC-01,114
2024-08-26,SKU-001,DC-01,293
2024-08-27,SKU-001,DC-01,358
2024-08-28,SKU-001,DC-01,262
2024-08-29,SKU-001,DC-01,444
2024-08-30,SKU-001,DC-01,381
2024-08-31,SKU-001,DC-01,355
2024-09-01,SKU-001,DC-01,51
2024-09-02,SKU-001,DC-01,73
2024-09-03,SKU-001,DC-01,424
2024-09-04,SKU-001,DC-01,253
2024-09-05,SKU-001,DC-01,384
2024-09-06,SKU-001,DC-01,142
2024-09-07,SKU-001,DC-01,226
2024-09-08,SKU-001,DC-01,151
2024-09-09,SKU-001,DC-01,226
2024-09-10,SKU-001,DC-01,168
2024-09-11,SKU-001,DC-01,221
2024-09-12,SKU-001,DC-01,294
2024-09-13,SKU-001,DC-01,340
2024-09-14,SKU-001,DC-01,113
2024-09-15,SKU-001,DC-01,213
2024-09-16,SKU-001,DC-01,210
2024-09-17,SKU-001,DC-01,325
2024-09-18,SKU-001,DC-01,197
2024-09-19,SKU-001,DC-01,609
2024-09-20,SKU-001,DC-01,159
2024-09-21,SKU-001,DC-01,172
2024-09-22,SKU-001,DC-01,102
2024-09-23,SKU-001,DC-01,338
2024-09-24,SKU-001,DC-01,228
2024-09-25,SKU-001,DC-01,116
2024-09-26,SKU-001,DC-01,831
2024-09-27,SKU-001,DC-01,382
2024-09-28,SKU-001,DC-01,115
2024-09-29,SKU-001,DC-01,211
2024-09-30,SKU-001,DC-01,456
2024-10-01,SKU-001,DC-01,164
2024-10-02,SKU-001,DC-01,451
2024-10-03,SKU-001,DC-01,409
2024-10-04,SKU-001,DC-01,582
2024-10-05,SKU-001,DC-01,122
2024-10-06,SKU-001,DC-01,132
2024-10-07,SKU-001,DC-01,272
2024-10-08,SKU-001,DC-01,206
2024-10-09,SKU-001,DC-01,749
2024-10-10,SKU-001,DC-01,616
2024-10-11,SKU-001,DC-01,487
2024-10-12,SKU-001,DC-01,273
2024-10-13,SKU-001,DC-01,119
2024-10-14,SKU-001,DC-01,409
2024-10-15,SKU-001,DC-01,438
2024-10-16,SKU-001,DC-01,369
2024-10-17,SKU-001,DC-01,374
2024-10-18,SKU-001,DC-01,372
2024-10-19,SKU-001,DC-01,47
2024-10-20,SKU-001,DC-01,319
2024-10-21,SKU-001,DC-01,465
2024-10-22,SKU-001,DC-01,94
2024-10-23,SKU-001,DC-01,567
2024-10-24,SKU-001,DC-01,299
2024-10-25,SKU-001,DC-01,270
2024-10-26,SKU-001,DC-01,147
2024-10-27,SKU-001,DC-01,216
2024-10-28,SKU-001,DC-01,604
2024-10-29,SKU-001,DC-01,305
2024-10-30,SKU-001,DC-01,322
2024-10-31,SKU-001,DC-01,694
2024-11-01,SKU-001,DC-01,361
2024-11-02,SKU-001,DC-01,223
2024-11-03,SKU-001,DC-01,161
2024-11-04,SKU-001,DC-01,186
2024-11-05,SKU-001,DC-01,274
2024-11-06,SKU-001,DC-01,484
2024-11-07,SKU-001,DC-01,529
2024-11-08,SKU-001,DC-01,746
2024-11-09,SKU-001,DC-01,155
2024-11-10,SKU-001,DC-01,250
2024-11-11,SKU-001,DC-01,516
2024-11-12,SKU-001,DC-01,416
2024-11-13,SKU-001,DC-01,249
2024-11-14,SKU-001,DC-01,217
2024-11-15,SKU-001,DC-01,510
2024-11-16,SKU-001,DC-01,273
2024-11-17,SKU-001,DC-01,261
2024-11-18,SKU-001,DC-01,337
2024-11-19,SKU-001,DC-01,323
2024-11-20,SKU-001,DC-01,258
2024-11-21,SKU-001,DC-01,375
2024-11-22,SKU-001,DC-01,75
2024-11-23,SKU-001,DC-01,202
2024-11-24,SKU-001,DC-01,263
2024-11-25,SKU-001,DC-01,859
2024-11-26,SKU-001,DC-01,546
2024-11-27,SKU-001,DC-01,383
2024-11-28,SKU-001,DC-01,335
